Datim,Duration,id,State,State_SC,State_TR
2023-01-05 07:00:00,10,2067,DOWN,"",""
2023-01-05 07:00:14,3.1077777777777778,471,UP,"",""
2023-01-05 07:31:07,1.5563888888888888,1078,UP,"",""
2023-01-05 08:00:00,1.5,1211,UP,"",""
2023-01-05 08:00:00,1.5,1558,UP,"",""
2023-01-05 08:00:00,2,919,UP,"",""
2023-01-05 08:00:00,2,1739,UP,"",""
2023-01-05 08:00:00,2,2474,UP,UP,UP
2023-01-05 08:00:00,3,671,UP,"",""
2023-01-05 08:00:00,8,636,UP,"",""
2023-01-05 08:29:49,2.0030555555555556,2397,UP,DOWN,UP
2023-01-05 08:30:00,2.5,1535,DOWN,"",""
2023-01-05 08:30:00,6.5,2294,UP,"",""
2023-01-05 09:00:00,1,366,UP,"",""
2023-01-05 09:00:00,2.5,1919,UP,"",""
2023-01-05 09:00:00,3,806,UP,"",""
2023-01-05 09:00:00,4.5,2229,UP,"",""
2023-01-05 09:00:00,8,1247,UP,"",""
2023-01-05 09:00:00,8,1640,UP,"",""
2023-01-05 09:24:23,,542,DOWN,"",""
2023-01-05 09:30:00,0.5,1164,UP,"",""
2023-01-05 09:30:00,5.5,211,UP,"",""
2023-01-05 10:00:00,0.5,2235,DOWN,"",""
2023-01-05 10:00:00,1,116,UP,"",""
2023-01-05 10:00:00,1,1149,UP,"",""
2023-01-05 10:00:00,1.7066666666666668,1267,UP,"",""
2023-01-05 10:00:00,2,402,UP,"",""
2023-01-05 10:00:00,2,487,UP,"",""
2023-01-05 10:00:00,3,352,UP,"",""
2023-01-05 10:00:00,7,1103,UP,"",""
2023-01-05 10:00:00,8,2326,DOWN,"",""
2023-01-05 10:00:00,8.5,2263,UP,"",""
2023-01-05 10:22:10,0.6305555555555555,2563,UP,UP,UP
2023-01-05 10:30:00,1,2091,UP,"",""
2023-01-05 10:30:00,1.5,297,UP,"",""
2023-01-05 10:30:00,1.5,1357,UP,"",""
2023-01-05 10:30:00,2.5,2414,UP,DOWN,UP
2023-01-05 10:49:01,2.973333333333333,1014,UP,"",""
2023-01-05 10:59:32,2.0077777777777777,1356,UP,"",""
2023-01-05 11:00:00,1.5,1210,UP,"",""
2023-01-05 11:00:00,1.5,1515,DOWN,"",""
2023-01-05 11:00:00,2,1424,UP,"",""
2023-01-05 11:00:00,2.847777777777778,2019,UP,"",""
2023-01-05 12:00:00,2,847,UP,"",""
2023-01-05 12:00:00,2,2089,UP,"",""
2023-01-05 12:00:00,4,1869,UP,"",""
2023-01-05 12:00:00,5,406,UP,"",""
2023-01-05 12:30:00,0.5,1891,UP,"",""
2023-01-05 12:30:00,2,7,UP,"",""
2023-01-05 12:30:00,3,174,UP,"",""
2023-01-05 12:48:04,0.8008333333333333,967,UP,"",""
