Begin,Description,End,FACILITY,IIO_Res_id,Modules,Tool,User_id,WBS
2023-01-04 18:00:00,private,2023-01-05 06:00:00,PLINE300,1519,"",H6300,fukumu91,31199/02019
2023-01-05 06:00:00,i,2023-01-05 08:00:00,PLINE300,934,"",SEMVISION,engelen,43001/43193
2023-01-05 06:00:00,Use,2023-01-05 08:00:00,PLINE300,1502,"",H6300,zidan45,31199/01988
2023-01-05 07:00:00,process lot P224285,2023-01-05 08:30:00,PLINE200,2253,PM2;PM3,SPTS_OMEGA,nedelj21,36004/01224
2023-01-05 07:00:00,hf-o3-apm clean of bare si,2023-01-05 09:00:00,PLINE300,2348,MPC8;LP4;LP3,DNS_6,drent34,31199/31811
2023-01-05 08:00:00,Ag Sample characterization,2023-01-05 09:30:00,PLINE300,209,"",NOVA200_2,tripat41,97406/01185
2023-01-05 08:00:00,P36 ATLAS2,2023-01-05 09:30:00,PLINE300,999,"",HITACHI5000,herman57,31199/00653
2023-01-05 04:00:00,FAB XSEM support,2023-01-05 10:00:00,PLINE300,1086,"",SU8000,caluwaer,42199/00160
2023-01-05 08:00:00,i,2023-01-05 10:00:00,PLINE300,228,"",HELIOS1200,iraci88,37092/02172
2023-01-05 08:00:00,sem,2023-01-05 10:00:00,PLINE300,895,"",SEMVISION,dvriendt,32299/00013
2023-01-05 08:00:00,test,2023-01-05 10:00:00,PLINE300,21,"",SC1000,dilien72,31199/30079
2023-01-05 08:00:00,test,2023-01-05 10:00:00,PLINE300,72,"",TR1000,dilien72,31199/30079
2023-01-05 09:00:00,AE221891 34P analysis,2023-01-05 10:00:00,PLINE300,2339,SN,EP5,pak43,31199/01890
2023-01-05 09:30:00,i,2023-01-05 10:00:00,PLINE300,1075,"",HITACHI5000,raymae79,98601/01062
2023-01-05 08:30:00,test,2023-01-05 10:30:00,PLINE300,97,"",TR3300,dilien72,31199/30079
2023-01-05 10:00:00,cross section,2023-01-05 10:30:00,PLINE200,1822,"",XL30_CF,wodarz95,97406/01185
2023-01-05 07:00:00,process,2023-01-05 11:00:00,PLINE300,2054,LP1;PM1,EXTREME_2,goovae19,31199/01617
2023-01-05 08:00:00,Measurement LS,2023-01-05 11:00:00,PLINE300,1560,"",H6300,genjim61,31199/02273
2023-01-05 08:30:00,MEC,2023-01-05 11:00:00,PLINE200,1625,"",NOVA200,ripj,32005/01784
2023-01-05 10:00:00,Meas,2023-01-05 11:00:00,PLINE300,1071,"",HITACHI5000,delvaux,32299/00355
2023-01-05 10:00:00,Ohmega-theta,2023-01-05 11:00:00,PLINE300,634,"",JVX7300M,dekkers,31499/01284
2023-01-05 10:00:00,OVL,2023-01-05 11:00:00,PLINE300,719,"",ARCHER200,mingar54,98850/02279
2023-01-05 10:30:00,test,2023-01-05 11:00:00,PLINE300,45,"",SC3400,dilien72,31199/30079
2023-01-05 10:30:00,test,2023-01-05 11:00:00,PLINE300,58,"",TR3400,dilien72,31199/30079
2023-01-05 09:00:00,ILLUMINATOR - FBR process,2023-01-05 11:30:00,PLINE200,2254,PM2;PM3,SPTS_OMEGA,palomb58,36004/01224
2023-01-05 10:30:00,DSA,2023-01-05 11:30:00,PLINE300,2407,BOTL,TRDUOS,hillen84,31199/01680
2023-01-05 09:00:00,DSA,2023-01-05 12:00:00,PLINE300,1201,"",H6300_2,verstr99,31199/00650
2023-01-05 10:00:00,SIPHO,2023-01-05 12:00:00,PLINE200,1718,"",FC150,bexp,31012/00013
2023-01-05 10:00:00,Training,2023-01-05 12:00:00,PLINE300,2340,SN,EP5,logana15,31199/01995
2023-01-05 10:30:00,i,2023-01-05 12:00:00,PLINE300,2357,LP3;PM2,LAM_E5,raymae79,98601/01062
2023-01-05 10:30:00,monitor wafer check,2023-01-05 12:00:00,PLINE300,2424,PM,EDR7100,drent34,31199/31811
2023-01-05 11:00:00,APC,2023-01-05 12:30:00,PLINE300,1078,"",HITACHI5000,schelc12,31199/01880
2023-01-05 11:00:00,Dev,2023-01-05 12:30:00,PLINE200,1630,"",NOVA200,hendri21,97406/01185
2023-01-05 10:00:00,In2O3 dep,2023-01-05 13:00:00,PLINE300,1989,LP1;CH4_MC;CHE,ENDURA_5,dekkers,31499/01284
2023-01-05 10:30:00,Inpria,2023-01-05 13:00:00,PLINE300,844,"",TR3300,choudr12,31199/31247
2023-01-05 11:00:00,BSV etch,2023-01-05 13:00:00,PLINE300,2129,LP1;PM1,LAM_E6,brouri54,31199/01617
2023-01-05 11:00:00,coupon etching,2023-01-05 13:00:00,PLINE300,2011,LP1;PM6,TEL_TACTRAS3,paolil45,31199/01988
2023-01-05 11:00:00,Coupons,2023-01-05 13:00:00,PLINE300,2194,LP2;PM3,LAM_E5,vallat65,31299/02062
2023-01-05 12:30:00,SP3,2023-01-05 13:00:00,PLINE300,722,"",SP3,reddy63,32005/01717
2023-01-05 06:30:00,processing lots on hold,2023-01-05 13:30:00,PLINE300,2098,LP1;LP2;PM_C;PM_D,F_REX300X_2,pittev,31399/01183
2023-01-05 09:00:00,Topography on Canopus1 D18,2023-01-05 13:30:00,PLINE200,1829,"",WYCO,zunic13,98300/01618
2023-01-05 12:00:00,DSA,2023-01-05 14:00:00,PLINE300,2387,BOTL,TRDUOS,vanbel53,31199/00650
2023-01-05 12:00:00,test,2023-01-05 14:00:00,PLINE300,157,"",H6300_2,furuka28,31199/01514
2023-01-05 13:30:00,cross section,2023-01-05 14:00:00,PLINE200,1823,"",XL30_CF,wodarz95,97406/01185
2023-01-05 12:30:00,MAZO and binaries w/ O3,2023-01-05 14:30:00,PLINE300,644,"",2830ZT,pavel13,31499/01284
2023-01-05 14:00:00,SPC VersaM,2023-01-05 14:30:00,PLINE300,2093,LP1;PM3,EXCEL_2,goovae19,98601/01944
2023-01-05 08:30:00,pellicle,2023-01-05 15:00:00,PLINE300,423,"",YS250,bekaert,31199/00979
