DEL_FLAG,FACILITY,ENT_NAME,ROW_ID,CSIM_TIMESTAMP,Area
N,PLINE200,OPTIHOT_HB_30,6971,1/18/2023 23:18,Area/Litho/Misc/Misc
N,PLINE300,PRODUCER_5,11826,1/22/2023 21:38,Area/ISE/Etch/CombinedEtch
N,PLINE200,FC150,3722,1/23/2023 11:25,Area/WBA/Assembly/FlipChip
N,PLINE200,MIC_NIKON_2,4432,1/23/2023 12:47,Area/ILIME/Metrology/Inspections
N,PLINE300,NOVA600,10451,1/23/2023 15:42,Area/ELMIC/Metrology/Inspections
N,PLINE200,NH3MONITOR,3883,1/24/2023 9:19,Area/ILIME/Metrology/Inspections
N,PLINE200,MIC_AXIOTRON_2,5171,1/25/2023 13:33,Area/ILIME/Metrology/Inspections
N,PLINE200,SAM300,9587,1/25/2023 14:01,Area/ILIME/Metrology/Defectivity
N,PLINE200,DIEPICKPLACE,5803,1/26/2023 7:47,Area/WBA/Assembly/FlipChip
N,PLINE300,METRIXL,2172,1/26/2023 7:47,Area/ILIME/Metrology/XRRD
N,PLINE200,SEALER_2,7992,1/26/2023 12:33,Area/ISE/Maintenance/Maintenance
N,PLINE300,RAIDER_4,6638,1/26/2023 12:47,Area/WMCE/Plating/Plating
N,PLINE200,L5_DICER,23390,1/26/2023 16:05,Area/WBA/Assembly/Dicing
N,PLINE200,L5_CLEANER,23391,1/26/2023 16:07,Area/WBA/Assembly/Dicing
N,PLINE300,CENTURA_EPI,12627,1/27/2023 8:14,Area/DDEPI/Deposition/EPI
N,PLINE200,MARANGONI,15466,1/27/2023 11:22,Area/WMCE/Clean/Clean
N,PLINE200,CHAMEO_UP,25772,1/27/2023 14:59,Area/WBA/Assembly/FlipChip
N,PLINE300,FTIR_2,23981,1/27/2023 19:22,Area/ILIME/Metrology/Inspections
N,PLINE300,TEL_EPISODE,25306,1/29/2023 7:47,Area/DDCVD/Deposition/CVD
N,PLINE300,GENI,16866,1/30/2023 7:47,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE300,WAFERSTORM,23007,1/30/2023 7:48,Area/WMCE/Clean/Etch
N,PLINE300,FPCLEAN,80,1/30/2023 22:04,Area/WMCE/FoupClean/FoupClean
N,PLINE200,DETAPER,8606,1/31/2023 2:29,Area/WBA/Assembly/Bonding
N,PLINE200,WETBENCH_1,4425,1/31/2023 7:26,Area/WMCE/Clean/Etch
N,PLINE200,SRD_3,5263,1/31/2023 7:26,Area/WMCE/Clean/Etch
N,PLINE200,SRD_4,5264,1/31/2023 7:26,Area/WMCE/Clean/Etch
N,PLINE200,E_LESS_PLATING_A,5165,1/31/2023 7:27,Area/WMCE/Clean/Clean
N,PLINE200,WETBENCH_3,5168,1/31/2023 7:27,Area/WMCE/Clean/Etch
N,PLINE200,WETBENCH_4,5179,1/31/2023 7:27,Area/WMCE/Clean/Etch
N,PLINE200,SCEPTER,3952,1/31/2023 7:47,Area/WMCE/Clean/Etch
N,PLINE300,REFLEXION,938,2/1/2023 5:45,Area/WMCE/Cmp/Cmp
N,PLINE300,DUMMY300,78,2/1/2023 9:31,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup
N,PLINE200,LAMINATOR,9929,2/1/2023 9:41,Area/WBA/Assembly/Bonding
N,PLINE200,MATRIX,3709,2/1/2023 10:30,Area/ISE/Etch/Strip
N,PLINE200,LAMINATOR_2,16306,2/1/2023 12:47,Area/WBA/Assembly/Bonding
N,PLINE300,EXCEL_2,10483,2/1/2023 15:32,Area/DDCVD/Deposition/CVD
N,PLINE300,VANTAGE,906,2/1/2023 15:41,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE200,ASYMTEK,7051,2/1/2023 21:54,Area/WBA/Assembly/FlipChip
N,PLINE200,HERCULES_NIL,24391,2/1/2023 22:15,Area/WBA/Assembly/Bonding
N,PLINE200,MRT5000,8472,2/2/2023 1:50,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE200,DEBOND_PEEL,5542,2/2/2023 7:47,Area/WBA/Assembly/Bonding
N,PLINE200,TC_ADVANCED,12806,2/2/2023 7:47,Area/WBA/Assembly/FlipChip
N,PLINE300,XP4_1,21712,2/2/2023 7:48,Area/DDALD/Deposition/ALD
N,PLINE300,THERMAPROBE,4793,2/2/2023 10:32,Area/ISE/Metrology/MetrologyISE
N,PLINE200,XR80,3978,2/2/2023 10:48,Area/ISE/Implantation/Implantation
N,PLINE300,HELIOS_G5,24322,2/2/2023 11:57,Area/ELMIC/Metrology/Inspections
N,PLINE300,AIXTRON,74,2/2/2023 12:47,Area/DDEPI/Deposition/EPI
N,PLINE300,STOCKER_4,8127,2/2/2023 13:34,Area/ISE/Stocker/Stocker
