CSIM_TIMESTAMP,Area,DEL_FLAG,ENT_NAME,FACILITY,ROW_ID
2022-11-11 15:38:19,Area/ISE/Stocker/Stocker,N,STOCKER_2,PLINE300,3261
2022-11-11 15:48:16,Area/ISE/Stocker/Stocker,N,STOCKER_3,PLINE300,5141
2022-11-11 15:48:37,Area/ISE/Stocker/Stocker,N,STOCKER_4,PLINE300,8127
2022-11-11 16:05:13,Area/ILIME/Metrology/Inspections,N,YS375,PLINE300,18998
2022-11-11 16:38:13,Area/ISE/Stocker/Stocker,N,STOCKER_5,PLINE300,21763
2022-11-13 11:35:32,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup,N,DUMMY200,PLINE200,4772
2022-11-14 07:21:08,Area/ELMIC/Metrology/Inspections,N,CRESSINGTON200,PLINE200,11387
2022-11-14 08:53:18,Area/WBA/Assembly/FlipChip,N,ASYMTEK,PLINE200,7051
2022-11-14 11:55:30,Area/ISE/Etch/CombinedEtch,N,PRODUCER_5,PLINE300,11826
2022-11-14 18:39:33,Area/WMCE/Clean/Etch,N,SEZ,PLINE200,3953
2022-11-15 06:26:49,Area/ILIME/Metrology/Defectivity,N,EP5,PLINE300,19780
2022-11-15 07:11:43,Area/ILIME/Metrology/Inspections,N,HITACHI9200,PLINE200,3858
2022-11-15 07:29:19,Area/ISE/Maintenance/Maintenance,N,SEALER_2,PLINE200,7992
2022-11-15 07:47:28,Area/WBA/Assembly/FlipChip,N,TC_ADVANCED,PLINE200,12806
2022-11-15 09:25:52,Area/WBA/Assembly/FlipChip,N,SETNA,PLINE200,24315
2022-11-15 12:47:29,Area/ISE/Etch/CombinedEtch,N,SPTS_BEOL,PLINE200,26262
2022-11-15 12:47:37,Area/Litho/Metrology/Inspections,N,E3650,PLINE300,26273
2022-11-15 15:46:47,Area/Litho/Misc/Misc,N,FUSION,PLINE200,3855
2022-11-15 19:30:44,Area/WMCE/Clean/Clean,N,MARANGONI,PLINE200,15466
2022-11-15 20:29:38,Area/DDDIFFUSION/Anneal/AnnealOven,N,P6_CURE,PLINE200,3939
2022-11-15 21:19:34,Area/DDDIFFUSION/Anneal/AnnealOven,N,GENI,PLINE300,16866
2022-11-16 05:00:32,Area/DDDIFFUSION/Anneal/AnnealOven,N,AST_CU,PLINE200,3833
2022-11-16 05:52:00,Area/ISE/Metrology/MetrologyISE,N,THERMAPROBE,PLINE300,4793
2022-11-16 05:52:55,Area/DDCVD/Deposition/CVD,N,FLEXUS,PLINE200,3853
2022-11-16 07:32:52,Area/ISE/Misc/Misc,N,INNOLAS,PLINE200,4524
2022-11-16 07:47:16,Area/Litho/Exposure/Scanner,N,IQ_ALIGNER,PLINE200,3714
2022-11-16 07:47:31,Area/WMCE/Clean/Etch,N,WETBENCH_2,PLINE200,5163
2022-11-16 07:47:55,Area/ISE/Implantation/Implantation,N,QUANTUMXP,PLINE300,12695
2022-11-16 13:08:46,Area/DDPVD/Deposition/PVD,N,BH800,PLINE200,20374
2022-11-16 13:20:33,Area/ILIME/Metrology/Profilometry,N,WYCO,PLINE200,19408
2022-11-16 14:37:26,Area/DDEPI/Deposition/EPI,N,APA,PLINE300,12887
2022-11-16 16:52:50,Area/ILIME/Metrology/Profilometry,N,HRP220_CU,PLINE200,3859
2022-11-16 17:49:10,Area/WBA/Assembly/Bonding,N,DEBOND_PEEL,PLINE200,5542
2022-11-16 20:03:47,Area/ILIME/Metrology/Inspections,N,CIPT,PLINE200,8288
2022-11-16 21:50:02,Area/WMCE/Clean/Etch,N,WAFERSTORM,PLINE300,23007
2022-11-16 22:01:07,Area/WMCE/Clean/Clean,N,RENA_CLEAN,PLINE200,7771
2022-11-16 22:40:02,Area/ISE/Etch/CombinedEtch,N,LAM_POLY,PLINE200,4773
2022-11-17 00:50:36,Area/ISE/Implantation/Implantation,N,NV8201,PLINE200,3885
2022-11-17 03:06:41,Area/DDPVD/Deposition/PVD,N,ENDURA_4,PLINE300,6953
2022-11-17 03:08:39,Area/WBA/Assembly/Dicing,N,UVO,PLINE200,23227
2022-11-17 04:23:49,Area/WBA/Assembly/Bonding,N,LAMINATOR,PLINE200,9929
2022-11-17 04:29:25,Area/ELMIC/Metrology/Inspections,N,MC600I,PLINE300,15148
2022-11-17 04:45:29,Area/ILIME/Metrology,N,RS75TC,PLINE200,3948
2022-11-17 04:59:36,Area/ILIME/Metrology/Inspections,N,CIRCL_2,PLINE300,24316
2022-11-17 05:22:22,Area/ILIME/Metrology/Inspections,N,YS250,PLINE300,11108
2022-11-17 05:25:56,Area/ILIME/Metrology/Inspections,N,ARCHER700,PLINE300,20549
2022-11-17 06:26:16,Area/ILIME/Metrology/Inspections,N,NH3MONITOR,PLINE200,3883
2022-11-17 07:15:22,Area/ISE/Sorter/Sorter,N,SORT6,PLINE300,20065
2022-11-17 07:47:04,Area/WBA/Assembly/Bonding,N,40NT,PLINE200,16687
2022-11-17 07:47:07,Area/META/AMSI/AutoProbers,N,AUTOPROBER_2,PLINE200,10097
2022-11-17 07:47:10,Area/WBA/Assembly/Bonding,N,DETAPER,PLINE200,8606
2022-11-17 07:47:10,Area/WMCE/Clean/Clean,N,DNS_10,PLINE200,24920
2022-11-17 07:47:11,Area/DDCVD/Deposition/CVD,N,FTIR_2,PLINE300,23981
2022-11-17 07:47:13,Area/ILIME/Metrology/Inspections,N,EV11,PLINE200,8786
2022-11-17 07:47:15,Area/WBA/Assembly/Bonding,N,HERCULES_NIL,PLINE200,24391
2022-11-17 07:47:18,Area/ISE/Etch/Strip,N,MATTSON,PLINE200,3872
2022-11-17 07:47:21,Area/WBA/Assembly/Bonding,N,MOUNTER_LH,PLINE200,7892
2022-11-17 07:47:29,Area/WMCE/Clean/Etch,N,SST_CU,PLINE200,3962
2022-11-17 07:47:33,Area/DDEPI/Deposition/EPI,N,AIXTRON,PLINE300,74
2022-11-17 07:47:34,Area/MCA/Metrology/Microscopes,N,ATOMPROBE,PLINE300,20306
2022-11-17 07:47:37,Area/WMCE/Clean/Etch,N,DNS_9,PLINE300,20972
2022-11-17 07:47:43,Area/DDEPI/Deposition/EPI,N,GAN_G5,PLINE300,21729
2022-11-17 07:47:44,Area/ILIME/Metrology/Inspections,N,H6300,PLINE300,13055
2022-11-17 07:47:46,Area/ILIME/Metrology/Profilometry,N,HRP340,PLINE300,922
2022-11-17 07:47:46,Area/ILIME/Metrology/Profilometry,N,HRP340_2,PLINE300,2020
2022-11-17 07:47:46,Area/WBA/Assembly/Bonding,N,HYBRID_BONDER,PLINE300,24370
2022-11-17 07:47:50,Area/ILIME/Metrology/XRRD,N,METRIXL,PLINE300,2172
2022-11-17 07:47:51,Area/ILIME/Metrology/Inspections,N,NST300,PLINE300,20590
2022-11-17 07:47:51,Area/WMCE/Plating/Plating,N,NOKOTA,PLINE300,21029
2022-11-17 07:47:52,Area/DDALD/Deposition/ALD,N,POLYGON8300,PLINE300,263
2022-11-17 07:47:57,Area/Litho/Exposure/Scanner,N,SC2000,PLINE300,21339
2022-11-17 07:48:01,Area/ISE/Stocker/Stocker,N,STOCKER,PLINE300,2302
2022-11-17 07:48:02,Area/ELMIC/Metrology/Inspections,N,TECNAIF30,PLINE300,10447
2022-11-17 07:48:02,Area/META/AMSI/MetrologyAMSI,N,SYSTEMVI,PLINE300,20479
2022-11-17 07:48:04,Area/ISE/Etch/CombinedEtch,N,TEL_TACTRAS3,PLINE300,14466
2022-11-17 07:48:05,Area/Litho/Exposure/Track,N,TR2000,PLINE300,10648
2022-11-17 07:48:05,Area/Litho/Exposure/Track,N,TRMTM,PLINE300,6346
2022-11-17 07:48:07,Area/DDALD/Deposition/ALD,N,XP4_4,PLINE300,20945
2022-11-17 08:19:10,Area/DDALD/Deposition/ALD,N,EAGLE12_3,PLINE300,7662
2022-11-17 08:53:01,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup,N,DUMMY300,PLINE300,78
2022-11-17 08:55:17,Area/WBA/Assembly/Grinding,N,GRINDER,PLINE200,3733
2022-11-17 08:57:07,Area/ILIME/Metrology/Defectivity,N,PROVISION2E,PLINE300,21934
2022-11-17 09:42:19,Area/DDPVD/Deposition/PVD,N,ENDURA_BAR,PLINE200,3847
2022-11-17 09:43:23,Area/ILIME/Metrology/Inspections,N,MICROS_EPI,PLINE200,6380
2022-11-17 09:51:33,Area/ILIME/Metrology/Defectivity,N,ZI2000,PLINE200,14366
2022-11-17 10:07:02,Area/DDPVD/Deposition/PVD,N,ENDURA_5,PLINE300,16067
2022-11-17 10:10:18,Area/Lab/Lab/3D,N,PROBERSA,PLINE200,5316
2022-11-17 10:11:39,Area/ILIME/Metrology/Txrf,N,2830ZT,PLINE300,23988
2022-11-17 10:14:49,Area/DDALD/Deposition/ALD,N,EPSILON3200,PLINE300,736
2022-11-17 10:18:33,Area/Lab/Lab/3D,N,VORTEX_2,PLINE300,7111
2022-11-17 10:20:51,Area/ELMIC/Metrology/Inspections,N,HELIOS_G5,PLINE300,24322
2022-11-17 10:21:40,Area/ELMIC/Metrology/Inspections,N,NOVA600,PLINE300,10451
2022-11-17 10:22:23,Area/ISE/Implantation/Implantation,N,OPTIMA,PLINE300,1082
2022-11-17 10:48:48,Area/DDCVD/Deposition/CVD,N,AMAT_MEK,PLINE200,3824
2022-11-17 10:52:43,Area/WMCE/Plating/Plating,N,RAIDER,PLINE200,3947
2022-11-17 11:04:35,Area/DDEPI/Deposition/EPI,N,EPSILON,PLINE200,3848
2022-11-17 11:19:33,Area/Litho/Exposure/Scanner,N,EBEAM300,PLINE300,12927
2022-11-17 11:33:59,Area/DDDIFFUSION/Anneal/AnnealOven,N,LEVITOR4300,PLINE300,262
2022-11-17 11:44:09,Area/DDCVD/Deposition/CVD,N,AMAT_HIK,PLINE200,3823
2022-11-17 11:49:03,Area/DDEPI/Deposition/EPI,N,EPSILON2,PLINE200,3849
2022-11-17 11:56:40,Area/WMCE/Clean/Etch,N,SRD_1,PLINE200,4429
2022-11-17 11:57:34,Area/ELMIC/Metrology/Inspections,N,NOVA200,PLINE200,3884
2022-11-17 12:24:29,Area/ISE/Etch/CombinedEtch,N,VERSALIS,PLINE300,12113
2022-11-17 12:27:52,Area/META/AMSI/AutoProbers,N,THOR,PLINE200,19168
2022-11-17 12:36:55,Area/DDPVD/Deposition/PVD,N,ANELVA,PLINE300,704
2022-11-17 12:41:37,Area/ELMIC/Metrology/Inspections,N,HELIOS450,PLINE300,10449
2022-11-17 12:46:23,Area/WBA/Assembly/Bonding,N,DEBOND_CLEANER,PLINE200,7469
2022-11-17 12:47:19,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup,N,NOTOOL,PLINE200,6219
2022-11-17 12:47:20,Area/DDDIFFUSION/Anneal/AnnealOven,N,P8_POLYRAMP,PLINE200,3941
2022-11-17 12:47:21,Area/Lab,N,PRIKKER,PLINE200,3945
2022-11-17 12:47:25,Area/ISE/Sorter/Sorter,N,SORT_OVENS,PLINE200,3959
2022-11-17 12:47:36,Area/DDCVD/Deposition/CVD,N,EXTREME_1,PLINE300,10466
