fo_row_id,Datim,EVENT_ROW_ID,State
8312,09/01/2022 7:51,929424891,IN_MAINT
8307,09/01/2022 7:51,929424954,IN_MAINT
2079,09/01/2022 7:53,929425357,SPC_TEST
2077,09/01/2022 7:53,929425363,SPC_TEST
20980,09/01/2022 7:56,929425757,SPC_TEST
24652,09/01/2022 7:57,929425922,OCAP
4926,09/01/2022 7:57,929425990,RESERVED
21018,09/01/2022 8:00,929426544,SPC_TEST
7151,09/01/2022 8:03,929427318,IN_REPAIR
20980,09/01/2022 8:03,929427401,UP
7151,09/01/2022 8:03,929427405,SPC_TEST
6953,09/01/2022 8:03,929427409,UP
10648,09/01/2022 8:04,929427526,IN_MAINT
10648,09/01/2022 8:05,929427625,SPC_TEST
10648,09/01/2022 8:05,929427739,UP
13809,09/01/2022 8:11,929429222,RESERVED
2909,09/01/2022 8:11,929429225,SPC_TEST
3829,09/01/2022 8:13,929429350,SPC_TEST
3829,09/01/2022 8:13,929429407,UP
10907,09/01/2022 8:15,929429754,UP
10907,09/01/2022 8:15,929429761,RESERVED
8046,09/01/2022 8:16,929429813,PARTLY_UP
8038,09/01/2022 8:16,929429816,PARTLY_UP
8046,09/01/2022 8:16,929429823,SPC_TEST
8038,09/01/2022 8:16,929429826,UP
8045,09/01/2022 8:18,929430037,PARTLY_UP
8038,09/01/2022 8:18,929430039,PARTLY_UP
18992,09/01/2022 8:18,929430048,PARTLY_UP
18986,09/01/2022 8:18,929430050,PARTLY_UP
18993,09/01/2022 8:18,929430061,PARTLY_UP
18994,09/01/2022 8:18,929430083,PARTLY_UP
18993,09/01/2022 8:18,929430127,SPC_TEST
18994,09/01/2022 8:19,929430149,SPC_TEST
13810,09/01/2022 8:20,929430205,RESERVED
13809,09/01/2022 8:20,929430211,PARTLY_UP
13809,09/01/2022 8:20,929430227,RESERVED
9290,09/01/2022 8:25,929430538,RESERVED
11926,09/01/2022 8:27,929430709,IN_MAINT
3937,09/01/2022 8:27,929430752,IN_REPAIR
79,09/01/2022 8:28,929430841,IDLE_ERROR
242,09/01/2022 8:30,929431027,IN_REPAIR
24652,09/01/2022 8:33,929431280,PARTLY_UP
9590,09/01/2022 8:41,929432068,RESERVED
21906,09/01/2022 8:41,929432070,RESERVED
9588,09/01/2022 8:41,929432072,RESERVED
5065,09/01/2022 8:46,929432193,IN_REPAIR
5072,09/01/2022 8:47,929432288,IN_REPAIR
12955,09/01/2022 8:53,929432383,RESERVED
5072,09/01/2022 8:58,929432483,UP
5065,09/01/2022 8:58,929432499,UP
20795,09/01/2022 9:02,929432855,UP
19202,09/01/2022 9:04,929433128,RESERVED
19210,09/01/2022 9:04,929433130,RESERVED
20795,09/01/2022 9:05,929433201,SPC_TEST
4194,09/01/2022 9:10,929433852,IN_MAINT
4199,09/01/2022 9:10,929433854,IN_MAINT
4200,09/01/2022 9:11,929433856,IN_MAINT
3947,09/01/2022 9:11,929433860,IN_MAINT
24763,09/01/2022 9:13,929433925,SPC_TEST
20975,09/01/2022 9:14,929433996,IN_MAINT
20976,09/01/2022 9:14,929433998,IN_MAINT
20977,09/01/2022 9:14,929434000,IN_MAINT
20978,09/01/2022 9:14,929434002,IN_MAINT
20972,09/01/2022 9:14,929434006,IN_MAINT
9803,09/01/2022 9:17,929434238,SPC_TEST
1078,09/01/2022 9:18,929434258,PARTLY_UP
