Cluster,Description,Fab300_Begin,Fab300_End,Fab300_Res_id,Fab300_User_id,FACILITY,IIO_Begin,IIO_End,IIO_Res_id,IIO_User_id,Modules,Tool,WBS
6,JSR,2022-11-10 17:01:33,2022-11-10 18:40:33,138,wouter12,PLINE300,2022-11-10 17:00:00,2022-11-10 19:00:00,534,perrem78,"",TR1000,31199/30079
6,sem,2022-11-09 14:38:16,2022-11-09 18:07:56,245,beirnaer,PLINE300,2022-11-09 15:00:00,2022-11-09 18:30:00,221,beirnaer,"",SEMVISION,32299/00013
6,test;JSR processing time,2022-11-09 08:13:56,2022-11-09 09:53:46,27,maessc90,PLINE300,2022-11-09 08:00:00,2022-11-09 12:00:00,494,cloost23;perrem78,"",SC1000,31199/30079
7,Devinps,2022-11-15 20:10:12,2022-11-15 21:51:40,69,gompou79,PLINE300,2022-11-15 19:00:00,2022-11-15 21:30:00,1141,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,CIRCL,36003/36503
7,ERU tests,2022-11-17 09:05:50,2022-11-17 11:19:11,485,locoroto,PLINE300,2022-11-17 09:00:00,2022-11-17 11:30:00,1201,locoroto,LP1;PM3;PM6,LAM_E6,98850/02081
7,sem,2022-11-10 07:07:35,2022-11-10 08:04:39,247,dvriendt,PLINE300,2022-11-10 08:00:00,2022-11-10 10:00:00,222,dvriendt,"",SEMVISION,32299/00013
7,test,2022-11-10 07:58:56,2022-11-10 10:25:24,28,maessc90,PLINE300,2022-11-10 08:00:00,2022-11-10 10:00:00,496,cloost23,"",SC1000,31199/30079
7,test,2022-11-14 08:58:02,2022-11-14 09:53:09,139,lecocq91,PLINE300,2022-11-14 08:00:00,2022-11-14 10:00:00,535,cloost23,"",TR1000,31199/30079
8,JSR,2022-11-10 17:01:16,2022-11-10 18:40:10,29,wouter12,PLINE300,2022-11-10 17:00:00,2022-11-10 19:00:00,497,perrem78,"",SC1000,31199/30079
8,JSR,2022-11-15 09:50:08,2022-11-15 11:12:41,140,lecocq91,PLINE300,2022-11-15 09:00:00,2022-11-15 11:00:00,537,perrem78,"",TR1000,31199/30079
8,sem,2022-11-14 08:01:52,2022-11-14 10:02:18,236,beirnaer,PLINE300,2022-11-14 08:00:00,2022-11-14 10:00:00,224,beirnaer,"",SEMVISION,32299/00013
9,sem,2022-11-15 07:58:19,2022-11-15 10:11:41,234,beirnaer,PLINE300,2022-11-15 08:00:00,2022-11-15 10:00:00,226,beirnaer,"",SEMVISION,32299/00013
9,test,2022-11-14 08:58:11,2022-11-14 09:53:05,30,lecocq91,PLINE300,2022-11-14 08:00:00,2022-11-14 10:00:00,498,cloost23,"",SC1000,31199/30079
9,test,2022-11-16 08:02:11,2022-11-16 09:03:24,141,lecocq91,PLINE300,2022-11-16 08:00:00,2022-11-16 10:00:00,539,cloost23,"",TR1000,31199/30079
10,JSR,2022-11-15 09:50:17,2022-11-15 11:12:27,21,lecocq91,PLINE300,2022-11-15 09:00:00,2022-11-15 11:00:00,500,perrem78,"",SC1000,31199/30079
10,sem,2022-11-16 10:55:04,2022-11-16 11:54:54,260,beirnaer,PLINE300,2022-11-16 10:00:00,2022-11-16 12:00:00,228,beirnaer,"",SEMVISION,32299/00013
10,test,2022-11-17 08:04:55,2022-11-17 09:47:11,142,lecocq91,PLINE300,2022-11-17 08:00:00,2022-11-17 10:00:00,541,cloost23,"",TR1000,31199/30079
11,sem,2022-11-16 17:05:40,2022-11-16 18:48:27,261,dvriendt,PLINE300,2022-11-16 17:00:00,2022-11-16 18:30:00,229,dvriendt,"",SEMVISION,32299/00013
11,test,2022-11-16 08:02:19,2022-11-16 09:03:29,22,lecocq91,PLINE300,2022-11-16 08:00:00,2022-11-16 10:00:00,502,cloost23,"",SC1000,31199/30079
12,sem,2022-11-17 07:43:51,2022-11-17 10:00:05,263,beirnaer,PLINE300,2022-11-17 08:00:00,2022-11-17 10:00:00,230,beirnaer,"",SEMVISION,32299/00013
12,test,2022-11-17 08:05:04,2022-11-17 09:47:24,23,lecocq91,PLINE300,2022-11-17 08:00:00,2022-11-17 10:00:00,504,cloost23,"",SC1000,31199/30079
