Begin,Description,End,FACILITY,Module,RES_TK,Tool,User_id,WBS
2022-11-04 10:30:00,meas,2022-11-04 12:00:00,PLINE300,"",4168272,H6300_2,baerts,31199/00653
2022-11-04 16:00:00,meas,2022-11-04 17:00:00,PLINE300,"",4167701,H6300_2,baerts,31199/00653
2022-11-04 17:00:00,meas,2022-11-04 19:00:00,PLINE300,"",4167921,H6300_2,baerts,31199/00653
2022-11-05 11:00:00,meas,2022-11-05 13:00:00,PLINE300,"",4168104,H6300_2,popesc83,31199/01897
2022-11-05 13:00:00,meas,2022-11-05 15:00:00,PLINE300,"",4167461,H6300_2,popesc83,31199/01897
2022-11-06 17:00:00,meas,2022-11-07 00:00:00,PLINE300,"",4168339,H5000_2,kato15,31199/30117
2022-11-07 00:00:00,meas,2022-11-07 06:00:00,PLINE300,"",4168340,H5000_2,kato15,31199/30117
2022-11-08 09:00:00,meas,2022-11-08 11:00:00,PLINE300,"",4168557,H6300_2,chowri97,31199/01988
2022-11-09 09:30:00,meas,2022-11-09 11:00:00,PLINE300,"",4169313,NOVA200_2,delvaux,97401/01743
2022-11-09 09:30:00,meas,2022-11-09 13:00:00,PLINE300,"",4169231,GS1000,chowri97,31199/01988
2022-11-09 15:00:00,meas,2022-11-09 16:00:00,PLINE300,"",4169019,KLA2925,chowri97,31199/01988
2022-11-10 10:00:00,meas,2022-11-10 13:00:00,PLINE300,"",4169800,GS1000,popesc83,31199/01897
2022-11-15 14:30:00,meas,2022-11-15 16:30:00,PLINE300,"",4169870,GS1000,chowri97,31199/01988
2022-11-16 11:30:00,meas,2022-11-16 12:00:00,PLINE300,PM,4171270,EDR7100,chowri97,31199/01988
2022-10-31 11:00:00,measure,2022-10-31 13:00:00,PLINE300,"",4167066,H6300_2,paolil45,31199/01988
2022-11-03 13:00:00,measure,2022-11-03 15:00:00,PLINE300,"",4167869,HITACHI9380,wang24,31199/01889
2022-11-07 12:00:00,measure,2022-11-07 13:00:00,PLINE300,"",4168831,H6300,paolil45,31199/01988
2022-11-04 11:00:00,Measure lot AL214908,2022-11-04 13:00:00,PLINE300,LP1,4168261,CIRCL,vdweeg61,32299/00352
2022-11-04 11:00:00,Measure lot AL214908,2022-11-04 13:00:00,PLINE300,PM3,4168262,CIRCL,vdweeg61,32299/00352
2022-11-05 09:30:00,measure wafers,2022-11-05 11:00:00,PLINE300,"",4168336,H6300_2,guzman11,31199/00849
2022-11-08 11:00:00,measure wafers,2022-11-08 13:00:00,PLINE300,"",4168373,H6300_2,guzman11,31199/00849
2022-10-31 09:30:00,measurement,2022-10-31 10:00:00,PLINE300,"",4167098,SP5,arnou66,30990/32063
2022-10-31 10:00:00,measurement,2022-10-31 13:00:00,PLINE300,"",4166812,FTIR_2,castel93,31199/31247
2022-10-31 12:00:00,measurement,2022-10-31 13:00:00,PLINE200,"",4166945,SP1_DLS,tricas85,30990/32063
2022-11-02 10:00:00,measurement,2022-11-02 13:00:00,PLINE300,"",4166881,FTIR_2,castel93,31199/31247
2022-11-02 12:00:00,measurement,2022-11-02 13:00:00,PLINE200,"",4167403,SP1_DLS,tricas85,30990/32063
2022-11-02 13:00:00,measurement,2022-11-02 16:00:00,PLINE200,"",4167680,CIPT,rengo74,32401/32513
2022-11-02 16:00:00,measurement,2022-11-02 17:00:00,PLINE200,"",4167404,SP1_DLS,tricas85,30990/32063
2022-11-03 12:00:00,measurement,2022-11-03 12:30:00,PLINE200,"",4167829,SP1_DLS,tricas85,30990/32063
2022-11-03 16:00:00,measurement,2022-11-03 16:30:00,PLINE200,"",4167830,SP1_DLS,tricas85,30990/32063
2022-11-04 16:00:00,measurement,2022-11-04 17:00:00,PLINE300,PM,4168147,EDR7100,usmani63,31199/02241
2022-11-07 12:00:00,measurement,2022-11-07 12:30:00,PLINE200,"",4168553,SP1_DLS,tricas85,30990/32063
2022-11-07 16:00:00,measurement,2022-11-07 16:30:00,PLINE200,"",4168554,SP1_DLS,tricas85,30990/32063
2022-11-09 06:00:00,measurement,2022-11-09 07:00:00,PLINE300,PM,4169208,EDR7100,usmani63,31199/02241
2022-11-09 15:00:00,measurement,2022-11-09 16:00:00,PLINE300,"",4169868,SP5,sebai,32399/30027
2022-11-17 12:00:00,measurement,2022-11-17 13:00:00,PLINE200,"",4171703,SP1_DLS,tricas85,30990/02249
2022-11-17 16:00:00,measurement,2022-11-17 17:00:00,PLINE200,"",4171704,SP1_DLS,tricas85,30990/02249
2022-10-31 09:00:00,measuremetn trilayer,2022-10-31 13:00:00,PLINE200,"",4167061,CIPT,perezl56,31499/01838
2022-11-17 06:30:00,measurment,2022-11-17 08:00:00,PLINE300,PM,4171596,EDR7100,usmani63,31199/02241
2022-11-08 07:00:00,MEC,2022-11-08 09:30:00,PLINE200,"",4168733,NOVA200,ripj,32005/01784
2022-11-14 08:30:00,MEC,2022-11-14 09:30:00,PLINE200,"",4170544,NOVA200,ripj,32005/01784
2022-11-15 07:00:00,MEC,2022-11-15 08:30:00,PLINE200,"",4171020,NOVA200,ripj,32005/01784
2022-11-07 10:00:00,meting,2022-11-07 12:00:00,PLINE300,"",4168320,H6300_2,gillijns,31199/00653
2022-11-08 07:30:00,meting,2022-11-08 09:00:00,PLINE300,"",4167928,SC1000,jacobs41,31199/01513
2022-11-08 07:30:00,meting,2022-11-08 09:00:00,PLINE300,"",4167929,TR1000,jacobs41,31199/01513
2022-11-09 07:00:00,meting,2022-11-09 09:00:00,PLINE300,"",4168797,H6300,baudem,31199/01920
2022-11-15 07:30:00,meting,2022-11-15 09:00:00,PLINE300,"",4167930,SC1000,jacobs41,31199/01513
2022-11-15 07:30:00,meting,2022-11-15 09:00:00,PLINE300,"",4167931,TR1000,jacobs41,31199/01513
2022-11-16 08:30:00,meting,2022-11-16 09:00:00,PLINE300,LP1,4171167,CIRCL,beirnaer,32299/00013
2022-11-16 08:30:00,meting,2022-11-16 09:00:00,PLINE300,LP2,4171168,CIRCL,beirnaer,32299/00013
2022-11-16 08:30:00,meting,2022-11-16 09:00:00,PLINE300,LP3,4171169,CIRCL,beirnaer,32299/00013
2022-11-16 08:30:00,meting,2022-11-16 09:00:00,PLINE300,PM1,4171170,CIRCL,beirnaer,32299/00013
2022-11-16 08:30:00,meting,2022-11-16 09:00:00,PLINE300,PM2,4171171,CIRCL,beirnaer,32299/00013
2022-11-16 08:30:00,meting,2022-11-16 09:00:00,PLINE300,PM3,4171172,CIRCL,beirnaer,32299/00013
2022-11-18 09:00:00,meting,2022-11-18 17:00:00,PLINE200,"",4166953,CIPT,bosch65,31199/00653
2022-10-31 12:00:00,metro,2022-10-31 13:00:00,PLINE300,"",4166980,SCD100,houben21,30990/32063
2022-10-31 12:00:00,metro,2022-10-31 13:00:00,PLINE300,"",4166982,SP5,knaepen,30990/32063
2022-10-31 14:00:00,metro,2022-10-31 15:00:00,PLINE300,"",4166981,SCD100,houben21,30990/32063
2022-10-31 15:00:00,metro,2022-10-31 16:00:00,PLINE300,"",4166992,SP5,knaepen,30990/32063
2022-11-02 10:00:00,metro,2022-11-02 11:00:00,PLINE300,"",4167356,SCD100,houben21,30990/32063
2022-11-02 12:00:00,metro,2022-11-02 13:00:00,PLINE300,"",4166993,SCD100,houben21,30990/32063
2022-11-08 14:00:00,metro,2022-11-08 14:30:00,PLINE300,"",4169005,SCD100,houben21,30990/32063
2022-11-10 15:00:00,metro,2022-11-10 15:30:00,PLINE300,"",4170070,SP5,knaepen,30990/32063
2022-11-15 12:00:00,metro,2022-11-15 13:00:00,PLINE300,"",4170302,SCD100,houben21,30990/32063
2022-11-16 14:00:00,metro,2022-11-16 15:00:00,PLINE300,"",4171341,SCD100,houben21,30990/32063
2022-11-16 15:00:00,metro,2022-11-16 16:00:00,PLINE300,"",4171340,SP5,knaepen,30990/32063
2022-11-17 12:00:00,metro,2022-11-17 13:00:00,PLINE300,"",4171342,SP5,knaepen,30990/32063
2022-11-04 09:00:00,MH of MBE grown Co thin films,2022-11-04 17:30:00,PLINE200,"",4167582,EV11,sharma76,32399/30261
2022-11-02 15:00:00,MHM,2022-11-02 15:30:00,PLINE300,LP1,4167273,LAM_E5_2,kampit73,31199/01680
2022-11-02 15:00:00,MHM,2022-11-02 15:30:00,PLINE300,PM1,4167274,LAM_E5_2,kampit73,31199/01680
2022-11-03 14:00:00,MHM,2022-11-03 16:00:00,PLINE300,"",4167217,SU8000,kampit73,31199/01680
2022-11-08 16:00:00,MHM,2022-11-08 18:00:00,PLINE300,"",4168152,SU8000,kampit73,31199/01680
2022-11-10 11:00:00,MHM,2022-11-10 11:30:00,PLINE300,LP2,4169949,LAM_E5_2,kampit73,31199/01680
2022-11-10 11:00:00,MHM,2022-11-10 11:30:00,PLINE300,PM1,4169950,LAM_E5_2,kampit73,31199/01680
2022-11-10 14:00:00,MHM,2022-11-10 17:00:00,PLINE300,"",4169034,SU8000,kampit73,31199/01680
2022-11-15 15:00:00,MHM,2022-11-15 16:30:00,PLINE300,"",4170577,SU8000,kampit73,31199/01680
2022-11-14 15:00:00,micledi,2022-11-14 19:00:00,PLINE300,"",4170504,HYBRID_BONDER,jslabbe,32099/30197
2022-11-15 09:00:00,micledi,2022-11-15 11:00:00,PLINE200,"",4170505,LASERDEBOND,jslabbe,32099/30197
2022-11-06 22:00:00,Mo CTL lot,2022-11-07 00:00:00,PLINE300,H1,4167783,REFLEXION_2,raymaek,31399/00039
2022-11-06 22:00:00,Mo CTL lot,2022-11-07 00:00:00,PLINE300,LP1,4167784,REFLEXION_2,raymaek,31399/00039
2022-11-06 22:00:00,Mo CTL lot,2022-11-07 00:00:00,PLINE300,LP2,4167785,REFLEXION_2,raymaek,31399/00039
2022-11-06 22:00:00,Mo CTL lot,2022-11-07 00:00:00,PLINE300,PM1,4167786,REFLEXION_2,raymaek,31399/00039
2022-11-06 22:00:00,Mo CTL lot,2022-11-07 00:00:00,PLINE300,PM2,4167787,REFLEXION_2,raymaek,31399/00039
2022-11-06 22:00:00,Mo CTL lot,2022-11-07 00:00:00,PLINE300,PM3,4167788,REFLEXION_2,raymaek,31399/00039
2022-11-07 00:00:00,Mo CTL lot,2022-11-07 14:30:00,PLINE300,H1,4167789,REFLEXION_2,raymaek,31399/00039
2022-11-07 00:00:00,Mo CTL lot,2022-11-07 14:30:00,PLINE300,LP1,4167790,REFLEXION_2,raymaek,31399/00039
2022-11-07 00:00:00,Mo CTL lot,2022-11-07 14:30:00,PLINE300,LP2,4167791,REFLEXION_2,raymaek,31399/00039
2022-11-07 00:00:00,Mo CTL lot,2022-11-07 14:30:00,PLINE300,PM1,4167792,REFLEXION_2,raymaek,31399/00039
2022-11-07 00:00:00,Mo CTL lot,2022-11-07 14:30:00,PLINE300,PM2,4167793,REFLEXION_2,raymaek,31399/00039
2022-11-07 00:00:00,Mo CTL lot,2022-11-07 14:30:00,PLINE300,PM3,4167794,REFLEXION_2,raymaek,31399/00039
2022-11-04 14:00:00,module check,2022-11-04 14:30:00,PLINE300,"",4168248,TR3400,genjim61,31199/02273
2022-11-14 07:00:00,Monitor,2022-11-14 08:00:00,PLINE300,"",4169962,GS1000,vdbroecn,31199/31811
2022-11-16 06:30:00,MS3100 setup,2022-11-16 10:00:00,PLINE300,BOTL,4169825,TRDUOS,vanderey,31199/31191
2022-11-16 06:30:00,MS3100 setup,2022-11-16 10:00:00,PLINE300,TOPL,4169826,TRDUOS,vanderey,31199/31191
2022-11-16 13:00:00,MS3100 testing,2022-11-16 16:30:00,PLINE300,BOTL,4169828,TRDUOS,vanderey,31199/31191
2022-11-16 13:00:00,MS3100 testing,2022-11-16 16:30:00,PLINE300,TOPL,4169829,TRDUOS,vanderey,31199/31191
2022-11-08 10:00:00,MX2 layer transfer,2022-11-08 12:00:00,PLINE200,"",4169035,TEMP_BONDER,ghosh40,98500/01852
2022-11-08 08:30:00,nanomegas training,2022-11-08 17:30:00,PLINE300,"",4169050,TECNAIF30,agati92,42199/00160
2022-10-31 09:00:00,Navas Buhler JDP,2022-11-01 00:00:00,PLINE200,LP1,4167079,BH800,illyas10,43001/43181
2022-10-31 09:00:00,Navas Buhler JDP,2022-11-01 00:00:00,PLINE200,LP2,4167080,BH800,illyas10,43001/43181
2022-10-31 09:00:00,Navas Buhler JDP,2022-11-01 00:00:00,PLINE200,PM1,4167081,BH800,illyas10,43001/43181
2022-11-01 00:00:00,Navas Buhler JDP,2022-11-01 09:00:00,PLINE200,LP1,4167082,BH800,illyas10,43001/43181
2022-11-01 00:00:00,Navas Buhler JDP,2022-11-01 09:00:00,PLINE200,LP2,4167083,BH800,illyas10,43001/43181
2022-11-01 00:00:00,Navas Buhler JDP,2022-11-01 09:00:00,PLINE200,PM1,4167084,BH800,illyas10,43001/43181
2022-11-07 16:00:00,Nb/Si/Nb/Ru JJ stack,2022-11-07 19:00:00,PLINE300,CH1_MC,4168559,ENDURA_5,piao23,43900/02205
2022-11-07 16:00:00,Nb/Si/Nb/Ru JJ stack,2022-11-07 19:00:00,PLINE300,CH2_MC,4168560,ENDURA_5,piao23,43900/02205
2022-11-07 16:00:00,Nb/Si/Nb/Ru JJ stack,2022-11-07 19:00:00,PLINE300,LP1,4168561,ENDURA_5,piao23,43900/02205
2022-11-16 18:00:00,Nb_Si_Nb trilayer measurement,2022-11-16 19:30:00,PLINE200,"",4171611,CIPT,perezl56,31499/01838
2022-11-09 17:00:00,Nb-Si-Nb trilayers deposition,2022-11-09 20:00:00,PLINE300,CH1_MC,4169091,ENDURA_5,perezl56,43900/02205
2022-11-09 17:00:00,Nb-Si-Nb trilayers deposition,2022-11-09 20:00:00,PLINE300,CH2_MC,4169092,ENDURA_5,perezl56,43900/02205
2022-11-09 17:00:00,Nb-Si-Nb trilayers deposition,2022-11-09 20:00:00,PLINE300,CHE,4169093,ENDURA_5,perezl56,43900/02205
2022-11-09 17:00:00,Nb-Si-Nb trilayers deposition,2022-11-09 20:00:00,PLINE300,LP1,4169094,ENDURA_5,perezl56,43900/02205
2022-11-16 13:00:00,New boat test,2022-11-17 00:00:00,PLINE200,HITEMP,4171534,P7_HITEMP,knaepen,39425/01221
2022-11-16 13:00:00,New boat test,2022-11-17 00:00:00,PLINE200,WIP,4171535,P7_HITEMP,knaepen,39425/01221
2022-11-17 00:00:00,New boat test,2022-11-18 00:00:00,PLINE200,HITEMP,4171536,P7_HITEMP,knaepen,39425/01221
2022-11-17 00:00:00,New boat test,2022-11-18 00:00:00,PLINE200,WIP,4171537,P7_HITEMP,knaepen,39425/01221
2022-11-18 00:00:00,New boat test,2022-11-19 00:00:00,PLINE200,HITEMP,4171538,P7_HITEMP,knaepen,39425/01221
2022-11-18 00:00:00,New boat test,2022-11-19 00:00:00,PLINE200,WIP,4171539,P7_HITEMP,knaepen,39425/01221
2022-11-09 11:00:00,new job,2022-11-09 13:00:00,PLINE300,"",4168793,H6300_2,mingar54,31199/00653
2022-11-16 15:00:00,new recipe test in DCM4,2022-11-16 17:00:00,PLINE300,DCM4,4171198,XP8,kimura50,39423/01225
2022-11-16 15:00:00,new recipe test in DCM4,2022-11-16 17:00:00,PLINE300,LP1,4171199,XP8,kimura50,39423/01225
2022-11-16 15:00:00,new recipe test in DCM4,2022-11-16 17:00:00,PLINE300,LP2,4171200,XP8,kimura50,39423/01225
2022-11-16 15:00:00,new recipe test in DCM4,2022-11-16 17:00:00,PLINE300,LP3,4171201,XP8,kimura50,39423/01225
2022-11-16 15:00:00,new recipe test in DCM4,2022-11-16 17:00:00,PLINE300,LP4,4171202,XP8,kimura50,39423/01225
2022-11-17 14:00:00,NiO temp HYS,2022-11-18 00:00:00,PLINE200,"",4171889,EV11,wijsho15,31499/02047
2022-11-18 00:00:00,NiO temp HYS,2022-11-18 18:30:00,PLINE200,"",4171890,EV11,wijsho15,31499/02047
2022-11-09 09:00:00,no tool processing can be done.,2022-11-09 12:00:00,PLINE200,LP1,4169534,BH800,jansse67,39422/01225
2022-11-09 09:00:00,no tool processing can be done.,2022-11-09 12:00:00,PLINE200,LP2,4169535,BH800,jansse67,39422/01225
2022-11-09 09:00:00,no tool processing can be done.,2022-11-09 12:00:00,PLINE200,PM1,4169536,BH800,jansse67,39422/01225
2022-10-31 08:30:00,NXE monitor,2022-10-31 09:30:00,PLINE300,"",4155158,HITACHI5000,aubert85,31199/31811
