,Facility,Tool,Datim,State,State_SC,State_TR,id,Duration,BeginEndFlag
112,PLINE300,EAGLE12,2023-01-25 09:51:00,UP,,,112.0,1.65,Begin
1994,PLINE300,A412,2023-01-16 09:33:00,UP,,,1994.0,0.0,Begin
650,PLINE300,A412,2023-01-16 10:00:00,UP,,,650.0,22.0,Begin
1435,PLINE300,INS300,2023-01-04 09:30:00,UP,,,1435.0,2.0,Begin
1425,PLINE300,HRP340_2,2023-01-07 10:00:00,DOWN,,,1425.0,2.0,Begin
1426,PLINE300,HRP340_2,2023-01-16 11:00:00,UP,,,1426.0,1.0,Begin
1653,PLINE300,RS100C_2,2023-01-24 14:00:00,UP,,,1653.0,0.5,Begin
718,PLINE300,DNS_2,2023-01-09 16:00:00,UP,,,718.0,1.5,Begin
719,PLINE300,DNS_2,2023-01-13 12:30:00,UP,,,719.0,1.5,Begin
679,PLINE300,ALERIS,2023-01-06 11:00:00,UP,,,679.0,1.0,Begin
680,PLINE300,ALERIS,2023-01-06 13:00:00,UP,,,680.0,1.0,Begin
681,PLINE300,ALERIS,2023-01-06 15:00:00,UP,,,681.0,1.0,Begin
656,PLINE300,ALERIS,2023-01-06 17:00:00,UP,,,656.0,1.0,Begin
662,PLINE300,ALERIS,2023-01-11 17:00:00,UP,,,662.0,1.0,Begin
666,PLINE300,ALERIS,2023-01-12 13:00:00,UP,,,666.0,1.0,Begin
667,PLINE300,ALERIS,2023-01-12 15:00:00,UP,,,667.0,1.0,Begin
82,PLINE300,ALERIS,2023-01-12 16:51:00,UP,,,82.0,1.2,Begin
663,PLINE300,ALERIS,2023-01-12 19:00:00,UP,,,663.0,2.0,Begin
668,PLINE300,ALERIS,2023-01-13 09:00:00,UP,,,668.0,1.0,Begin
682,PLINE300,ALERIS,2023-01-13 11:00:00,UP,,,682.0,1.0,Begin
683,PLINE300,ALERIS,2023-01-13 13:00:00,UP,,,683.0,1.0,Begin
684,PLINE300,ALERIS,2023-01-13 15:00:00,UP,,,684.0,1.0,Begin
657,PLINE300,ALERIS,2023-01-15 17:00:00,UP,,,657.0,1.0,Begin
687,PLINE300,ALERIS,2023-01-17 11:00:00,UP,,,687.0,1.0,Begin
671,PLINE300,ALERIS,2023-01-17 17:00:00,UP,,,671.0,1.0,Begin
669,PLINE300,ALERIS,2023-01-18 13:00:00,UP,,,669.0,0.5,Begin
369,PLINE300,ALERIS,2023-01-18 13:16:00,DOWN,,,669.0,0.5,Begin
370,PLINE300,ALERIS,2023-01-18 13:29:00,UP,,,669.0,0.5,Begin
658,PLINE300,ALERIS,2023-01-19 09:30:00,UP,,,658.0,0.5,Begin
659,PLINE300,ALERIS,2023-01-19 11:00:00,UP,,,659.0,1.0,Begin
677,PLINE300,ALERIS,2023-01-19 13:00:00,UP,,,677.0,1.0,Begin
678,PLINE300,ALERIS,2023-01-19 15:00:00,UP,,,678.0,1.0,Begin
672,PLINE300,ALERIS,2023-01-19 17:00:00,UP,,,672.0,1.0,Begin
673,PLINE300,ALERIS,2023-01-19 19:00:00,UP,,,673.0,1.0,Begin
685,PLINE300,ALERIS,2023-01-20 11:00:00,UP,,,685.0,1.0,Begin
686,PLINE300,ALERIS,2023-01-20 13:00:00,UP,,,686.0,1.0,Begin
665,PLINE300,ALERIS,2023-01-20 17:00:00,UP,,,665.0,0.5,Begin
664,PLINE300,ALERIS,2023-01-20 17:30:00,UP,,,664.0,0.5,Begin
674,PLINE300,ALERIS,2023-01-21 11:00:00,UP,,,674.0,1.0,Begin
675,PLINE300,ALERIS,2023-01-21 13:00:00,UP,,,675.0,1.0,Begin
676,PLINE300,ALERIS,2023-01-21 19:00:00,UP,,,676.0,2.0,Begin
660,PLINE300,ALERIS,2023-01-23 15:00:00,UP,,,660.0,0.5,Begin
661,PLINE300,ALERIS,2023-01-23 17:00:00,UP,,,661.0,0.5,Begin
688,PLINE300,ALERIS,2023-01-24 11:00:00,UP,,,688.0,1.0,Begin
670,PLINE300,ALERIS,2023-01-24 13:00:00,UP,,,670.0,1.0,Begin
1316,PLINE300,HITACHI4000,2023-01-06 07:00:00,UP,,,1316.0,1.5,Begin
1315,PLINE300,HITACHI4000,2023-01-20 10:00:00,UP,,,1315.0,1.5,Begin
1599,PLINE300,NOVA200_2,2023-01-03 08:00:00,DOWN,,,1599.0,1.5,Begin
397,PLINE300,NOVA200_2,2023-01-03 08:22:00,UP,,,1599.0,1.5,Begin
255,PLINE300,NOVA200_2,2023-01-03 12:00:00,UP,,,255.0,2.1666666666666665,Begin
1587,PLINE300,NOVA200_2,2023-01-03 14:00:00,UP,,,1587.0,1.5,Begin
1600,PLINE300,NOVA200_2,2023-01-03 17:00:00,UP,,,1600.0,1.5,Begin
2001,PLINE300,NOVA200_2,2023-01-03 19:25:00,UP,,,2001.0,0.7166666666666667,Begin
263,PLINE300,NOVA200_2,2023-01-04 08:00:00,UP,,,263.0,2.6,Begin
1588,PLINE300,NOVA200_2,2023-01-04 12:30:00,UP,,,1588.0,3.0,Begin
