FO_ROW_ID,ResTk,ResWBS,EVENT_ROW_ID,USER_ID,DATE_TIME_STAMP
4926,NULL,NULL,946599101,vdstaey,11/4/2022 23:43
4926,N/a,43013/97275,946671705,dusar,11/5/2022 9:55
4926,NULL,NULL,946716059,verhoevj,11/5/2022 15:05
4926,N/a,36003/36503,946716083,verhoevj,11/5/2022 15:05
4926,NULL,NULL,946746316,verhoevj,11/5/2022 18:05
4926,N/a,43001/01666,946781742,dusar,11/5/2022 22:55
4926,NULL,NULL,946806245,dusar,11/6/2022 3:44
4926,N/a,39320/36502,946811503,vdstaey,11/6/2022 4:45
4926,NULL,NULL,946816917,vdstaey,11/6/2022 6:04
4926,N/a,43013/97275,946860436,dusar,11/6/2022 12:28
4926,NULL,NULL,946966884,vdstaey,11/7/2022 6:10
4926,4166525,32299/00013,946971504,dvriendt,11/7/2022 7:04
4926,NULL,NULL,946999977,beirnaer,11/7/2022 9:57
4926,4166517,32299/00013,947000057,beirnaer,11/7/2022 9:58
4926,NULL,NULL,947034089,beirnaer,11/7/2022 12:11
4926,N/a,39320/36502,947035560,dutrow20,11/7/2022 12:20
4926,NULL,NULL,947054012,dutrow20,11/7/2022 13:46
4926,N/a,32299/01899,947058723,konecn85,11/7/2022 14:07
4926,NULL,NULL,947068484,konecn85,11/7/2022 14:52
4926,4168378,00999/00505,947072706,janard53,11/7/2022 15:06
4926,NULL,NULL,947096728,janard53,11/7/2022 16:32
4926,N/a,39320/36502,947100420,derudd92,11/7/2022 16:53
4926,NULL,NULL,947109503,derudd92,11/7/2022 17:28
4926,N/a,98300/14175,947157541,konecn85,11/7/2022 18:54
4926,NULL,NULL,947194988,michal78,11/7/2022 22:30
4926,N/a,39320/36502,947195198,michal78,11/7/2022 22:31
4926,NULL,NULL,947210226,michal78,11/7/2022 23:53
4926,N/a,39320/36502,947226750,michal78,11/8/2022 2:32
4926,NULL,NULL,947230218,michal78,11/8/2022 3:00
4926,4166477,37004/37141,947255709,engelen,11/8/2022 6:11
4926,NULL,NULL,947269681,engelen,11/8/2022 7:55
4926,4166526,32299/00013,947270465,dvriendt,11/8/2022 7:59
4926,NULL,NULL,947329089,dutrow20,11/8/2022 12:04
4926,N/a,39320/36502,947329095,dutrow20,11/8/2022 12:05
4926,NULL,NULL,947354032,maes72,11/8/2022 13:56
4926,4166478,37004/37141,947354180,maes72,11/8/2022 13:57
4926,NULL,NULL,947365718,maes72,11/8/2022 14:11
4926,4166518,32299/00013,947419002,beirnaer,11/8/2022 16:59
4926,NULL,NULL,947454336,beirnaer,11/8/2022 18:32
4926,4166480,31029/01811,947454450,redants,11/8/2022 18:34
4926,NULL,NULL,947463979,redants,11/8/2022 19:48
4926,N/a,98300/14175,947465650,konecn85,11/8/2022 19:53
4926,NULL,NULL,947538251,michal78,11/9/2022 4:23
4926,4166544,31029/01811,947550359,engelen,11/9/2022 6:16
4926,NULL,NULL,947561248,engelen,11/9/2022 7:21
4926,4168842,32299/00013,947600892,dvriendt,11/9/2022 10:12
4926,NULL,NULL,947649270,dvriendt,11/9/2022 12:10
4926,N/a,39320/36502,947650143,dutrow20,11/9/2022 12:16
4926,NULL,NULL,947666407,dutrow20,11/9/2022 13:49
4926,4166546,43001/01666,947667043,redants,11/9/2022 13:54
4926,NULL,NULL,947677200,redants,11/9/2022 14:29
4926,4166899,32299/00013,947679272,beirnaer,11/9/2022 14:38
4926,NULL,NULL,947751168,beirnaer,11/9/2022 18:07
4926,4169945,32299/01084,947773494,janard53,11/9/2022 20:02
4926,NULL,NULL,947778550,janard53,11/9/2022 20:43
4926,N/a,39320/36502,947802132,michal78,11/9/2022 23:15
4926,NULL,NULL,947810601,michal78,11/10/2022 0:40
4926,N/a,39320/36502,947810604,michal78,11/10/2022 0:40
4926,NULL,NULL,947816922,michal78,11/10/2022 1:40
4926,4167155,44999/02213,947850141,engelen,11/10/2022 6:19
4926,NULL,NULL,947855493,dvriendt,11/10/2022 7:07
4926,4168843,32299/00013,947855553,dvriendt,11/10/2022 7:07
4926,NULL,NULL,947865614,dvriendt,11/10/2022 8:04
4926,N/a,39320/36502,947901409,dutrow20,11/10/2022 10:52
4926,NULL,NULL,947932282,dutrow20,11/10/2022 12:59
4926,N/a,36003/36503,948064805,verhoevj,11/10/2022 20:53
4926,NULL,NULL,948075685,verhoevj,11/10/2022 21:45
4926,N/a,39320/36502,948090031,michal78,11/10/2022 23:05
4926,NULL,NULL,948098114,michal78,11/10/2022 23:55
4926,4167556,32299/00013,948256684,beirnaer,11/14/2022 8:01
4926,NULL,NULL,948292665,beirnaer,11/14/2022 10:02
4926,4170164,00999/00505,948329336,janard53,11/14/2022 12:13
4926,NULL,NULL,948356023,janard53,11/14/2022 14:03
4926,4167487,43013/97275,948380236,michal78,11/14/2022 15:25
4926,NULL,NULL,948402593,michal78,11/14/2022 16:29
4926,4170848,39320/36502,948402663,michal78,11/14/2022 16:29
4926,NULL,NULL,948412790,michal78,11/14/2022 17:10
5065,4168758,32299/01899,947568708,wellens,11/9/2022 7:49
5065,NULL,NULL,947597643,wellens,11/9/2022 10:01
5065,N/a,31499/01284,948338333,dekkers,11/14/2022 13:04
5065,NULL,NULL,948456725,demesm55,11/14/2022 18:29
5266,4166848,31499/01490,945439346,bhatia92,10/31/2022 10:48
5266,NULL,NULL,946968768,1f8psvc,11/7/2022 6:46
5266,NULL,NULL,948206720,sinha70,11/13/2022 17:12
5266,N/a,31499/00379,948206721,sinha70,11/13/2022 17:12
5266,NULL,NULL,948359769,sinha70,11/14/2022 14:18
5443,N/a,39320/36502,945263990,billin72,10/30/2022 13:03
5443,NULL,NULL,945291103,billin72,10/30/2022 16:59
5443,N/a,39320/36502,945445887,billin72,10/31/2022 11:25
5443,NULL,NULL,945473217,billin72,10/31/2022 13:44
5443,N/a,98300/01969,945822702,dusar,11/2/2022 11:45
5443,NULL,NULL,945846246,dusar,11/2/2022 13:09
5443,N/a,98300/01535,945976808,konecn85,11/2/2022 22:05
5443,NULL,NULL,946002715,konecn85,11/3/2022 1:24
5443,4167489,31199/31191,946047142,vdbroecn,11/3/2022 6:37
5443,NULL,NULL,946061360,vdbroecn,11/3/2022 8:20
5443,N/a,98300/00615,946335262,konecn85,11/4/2022 3:09
5443,NULL,NULL,946357450,sainch77,11/4/2022 6:31
5443,N/a,98300/14175,946416542,dusar,11/4/2022 11:26
5443,NULL,NULL,946579691,billin72,11/4/2022 21:36
5443,N/a,39320/36502,946606477,vdstaey,11/5/2022 0:20
5443,NULL,NULL,946640676,vdstaey,11/5/2022 6:15
