EVENT_ROW_ID,Datim,State_SC,ToolName,State_TR,State,FACILITY,LithoCluster
939979949,10/10/2022 22:59,PARTLY_UP,SC1000,UP,DOWN,PLINE300,1000
939986588,10/10/2022 23:43,PARTLY_UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
939987908,10/10/2022 23:59,PARTLY_UP,TR1000,UP,DOWN,PLINE300,1000
939989136,10/11/2022 0:14,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
940020834,10/11/2022 3:07,UP,SC1000,UP,UP,PLINE300,1000
940068786,10/11/2022 8:01,RESERVED,SC1000,UP,DOWN,PLINE300,1000
940068822,10/11/2022 8:01,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
940104146,10/11/2022 11:04,UP,SC1000,RESERVED,DOWN,PLINE300,1000
940104164,10/11/2022 11:04,UP,TR1000,UP,UP,PLINE300,1000
940144663,10/11/2022 13:52,RESERVED,SC1000,UP,DOWN,PLINE300,1000
940237516,10/11/2022 18:15,RESERVED,TR1000,IN_MAINT,DOWN,PLINE300,1000
940258874,10/11/2022 20:16,UP,SC1000,IN_MAINT,DOWN,PLINE300,1000
940259313,10/11/2022 20:19,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
940294106,10/11/2022 23:06,UP,TR1000,UP,UP,PLINE300,1000
940371243,10/12/2022 8:00,RESERVED,SC1000,UP,DOWN,PLINE300,1000
940371314,10/12/2022 8:01,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
940393009,10/12/2022 9:50,UP,SC1000,RESERVED,DOWN,PLINE300,1000
940393059,10/12/2022 9:50,UP,TR1000,UP,UP,PLINE300,1000
940551006,10/12/2022 19:17,UP,TR1000,IDLE_ERROR,DOWN,PLINE300,1000
940553417,10/12/2022 19:37,UP,TR1000,UP,UP,PLINE300,1000
940683400,10/13/2022 8:00,RESERVED,SC1000,UP,DOWN,PLINE300,1000
940683450,10/13/2022 8:00,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
940696369,10/13/2022 9:34,RESERVED,TR1000,UP,DOWN,PLINE300,1000
940696401,10/13/2022 9:35,UP,SC1000,UP,UP,PLINE300,1000
940946207,10/14/2022 1:49,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
940966014,10/14/2022 3:53,UP,SC1000,UP,UP,PLINE300,1000
941254799,10/14/2022 23:54,IDLE_ERROR,SC1000,UP,DOWN,PLINE300,1000
941292829,10/15/2022 4:53,UP,SC1000,UP,UP,PLINE300,1000
941324522,10/15/2022 9:25,RESERVED,SC1000,UP,DOWN,PLINE300,1000
941336698,10/15/2022 11:27,RESERVED,TR1000,PARTLY_UP,DOWN,PLINE300,1000
941337698,10/15/2022 11:35,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
941555050,10/16/2022 19:13,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
941571911,10/16/2022 23:04,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
941585353,10/17/2022 3:03,IDLE_ERROR,SC1000,PARTLY_UP,DOWN,PLINE300,1000
941610931,10/17/2022 9:18,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
941865205,10/18/2022 3:09,UP,TR1000,UP,UP,PLINE300,1000
941876654,10/18/2022 5:58,IDLE_ERROR,SC1000,UP,DOWN,PLINE300,1000
941901183,10/18/2022 8:50,UP,SC1000,UP,UP,PLINE300,1000
941984442,10/18/2022 13:45,RESERVED,SC1000,UP,DOWN,PLINE300,1000
941984490,10/18/2022 13:45,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
942016123,10/18/2022 15:22,UP,SC1000,RESERVED,DOWN,PLINE300,1000
942016171,10/18/2022 15:23,UP,TR1000,UP,UP,PLINE300,1000
942136408,10/18/2022 22:49,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
942162377,10/19/2022 1:47,UP,SC1000,UP,UP,PLINE300,1000
942215099,10/19/2022 7:58,RESERVED,SC1000,UP,DOWN,PLINE300,1000
942215112,10/19/2022 7:58,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
942242652,10/19/2022 10:15,UP,SC1000,RESERVED,DOWN,PLINE300,1000
942243831,10/19/2022 10:19,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
942258422,10/19/2022 11:00,UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
942344126,10/19/2022 17:01,UP,TR1000,RESERVED,DOWN,PLINE300,1000
942344140,10/19/2022 17:01,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
942384654,10/19/2022 19:03,RESERVED,TR1000,PARTLY_UP,DOWN,PLINE300,1000
942384724,10/19/2022 19:03,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
942410586,10/19/2022 21:18,UP,TR1000,UP,UP,PLINE300,1000
942630431,10/20/2022 16:02,UP,TR1000,RESERVED,DOWN,PLINE300,1000
942630457,10/20/2022 16:02,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
942651528,10/20/2022 17:37,RESERVED,TR1000,UP,DOWN,PLINE300,1000
942651534,10/20/2022 17:37,UP,SC1000,UP,UP,PLINE300,1000
942707035,10/20/2022 20:09,IDLE_ERROR,SC1000,UP,DOWN,PLINE300,1000
942714091,10/20/2022 20:58,UP,SC1000,UP,UP,PLINE300,1000
