,FO_ROW_ID,DATE_TIME_STAMP_Begin,DATE_TIME_STAMP_End,EVENT_ROW_ID_Begin,EVENT_ROW_ID_End,ResTk,USER_ID_Start,USER_ID_End,WBS
1,4806.0,2022-10-31 10:35:00,2022-10-31 12:36:00,945437082.0,945458364.0,4165702,dara85,dara85,31499/00379
2,4806.0,2022-11-04 07:10:00,2022-11-04 11:03:00,946365546.0,946411186.0,4167272,dara85,dara85,31499/00379
3,4806.0,2022-11-07 07:12:00,2022-11-07 10:16:00,946973705.0,947004852.0,4168213,dara85,dara85,31499/00379
4,4806.0,2022-11-14 14:47:00,2022-11-14 17:24:00,948367430.0,948416175.0,4169249,dara85,dara85,31499/00379
1,4806.0,2022-10-31 10:35:00,2022-10-31 12:36:00,945437082.0,945458364.0,4165702,dara85,dara85,31499/00379
2,4806.0,2022-11-04 07:10:00,2022-11-04 11:03:00,946365546.0,946411186.0,4167272,dara85,dara85,31499/00379
3,4806.0,2022-11-07 07:12:00,2022-11-07 10:16:00,946973705.0,947004852.0,4168213,dara85,dara85,31499/00379
4,4806.0,2022-11-14 14:47:00,2022-11-14 17:24:00,948367430.0,948416175.0,4169249,dara85,dara85,31499/00379
2,5266.0,2022-11-13 17:12:00,2022-11-14 14:18:00,948206721.0,948359769.0,N/a,sinha70,sinha70,31499/00379
2,5266.0,2022-11-13 17:12:00,2022-11-14 14:18:00,948206721.0,948359769.0,N/a,sinha70,sinha70,31499/00379
1,7554.0,2022-10-30 10:55:00,2022-10-31 06:52:00,945244576.0,945386014.0,4166892,jambal44,willem81,31199/01918
2,7554.0,2022-11-04 09:28:00,2022-11-04 11:32:00,946389752.0,946417947.0,4167740,naqvi66,sun57,31199/01988
3,7554.0,2022-11-04 11:32:00,2022-11-04 13:53:00,946417982.0,946452741.0,4167658,sun57,sun57,30990/32063
4,7554.0,2022-11-08 07:10:00,2022-11-09 02:38:00,947261830.0,947529843.0,4169001,vanoost,willem81,98850/98097
5,7554.0,2022-11-10 06:59:00,2022-11-10 09:06:00,947854374.0,947873447.0,4169853,baudem,baudem,31199/01920
6,7554.0,2022-11-10 14:01:00,2022-11-10 20:47:00,947950078.0,948063105.0,4169475,sun57,debout81,30990/32063
1,7554.0,2022-10-30 10:55:00,2022-10-31 06:52:00,945244576.0,945386014.0,4166892,jambal44,willem81,31199/01918
2,7554.0,2022-11-04 09:28:00,2022-11-04 11:32:00,946389752.0,946417947.0,4167740,naqvi66,sun57,31199/01988
3,7554.0,2022-11-04 11:32:00,2022-11-04 13:53:00,946417982.0,946452741.0,4167658,sun57,sun57,30990/32063
4,7554.0,2022-11-08 07:10:00,2022-11-09 02:38:00,947261830.0,947529843.0,4169001,vanoost,willem81,98850/98097
5,7554.0,2022-11-10 06:59:00,2022-11-10 09:06:00,947854374.0,947873447.0,4169853,baudem,baudem,31199/01920
6,7554.0,2022-11-10 14:01:00,2022-11-10 20:47:00,947950078.0,948063105.0,4169475,sun57,debout81,30990/32063
1,8288.0,2022-10-31 09:19:00,2022-10-31 12:26:00,945405339.0,945456239.0,4167061,perezl56,perezl56,31499/01838
2,8288.0,2022-11-04 09:43:00,2022-11-04 12:19:00,946393585.0,946431747.0,4168067,perezl56,perezl56,31499/01838
1,8288.0,2022-10-31 09:19:00,2022-10-31 12:26:00,945405339.0,945456239.0,4167061,perezl56,perezl56,31499/01838
2,8288.0,2022-11-04 09:43:00,2022-11-04 12:19:00,946393585.0,946431747.0,4168067,perezl56,perezl56,31499/01838
1,10648.0,2022-11-02 19:18:00,2022-11-03 03:40:00,945949030.0,946023891.0,4167464,kato15,irutha45,31199/30117
1,10648.0,2022-11-02 19:18:00,2022-11-03 03:40:00,945949030.0,946023891.0,4167464,kato15,irutha45,31199/30117
1,10907.0,2022-10-30 06:47:00,2022-10-30 17:50:00,945216513.0,945302108.0,N/a,dutrow20,dutrow20,39320/36502
2,10907.0,2022-10-30 20:27:00,2022-10-31 05:57:00,945337941.0,945381259.0,N/a,subedi56,subedi56,39320/36502
3,10907.0,2022-10-31 08:01:00,2022-10-31 12:24:00,945395703.0,945455760.0,N/a,demoniei,iraci88,37092/02172
4,10907.0,2022-10-31 14:07:00,2022-10-31 17:37:00,945476602.0,945524883.0,4167152,peeter11,peeter11,37092/02172
5,10907.0,2022-10-31 18:06:00,2022-11-01 01:44:00,945543001.0,945637486.0,N/a,pavlov38,derudd92,39320/36502
6,10907.0,2022-11-01 02:32:00,2022-11-01 05:54:00,945644257.0,945660249.0,N/a,vrebos45,vrebos45,39320/36502
7,10907.0,2022-11-01 21:58:00,2022-11-02 01:40:00,945690609.0,945719429.0,N/a,derudd92,derudd92,39320/36502
